    BEGIN:|U|  BEGIN:Ph(U)  BEGIN:TBeg  HX:HeatIn   HX:HeatIn     RPN:dT     RPN:COP   
      m^3/s        deg          K           W           W           _           _      
         0f          0g          0c          1e         13e          9A         16A    
     4.0000E-3       -2.7000     341.030     -280.97       193.190       70.0580       2.30280
     4.0000E-3       -2.5500     341.030     -280.97       193.160       70.0680       2.30200
     4.0000E-3       -2.4000     341.040     -280.97       193.140       70.0780       2.30110
     4.0000E-3       -2.2500     341.040     -280.97       193.120       70.0880       2.30020
     4.0000E-3       -2.1000     341.040     -280.96       193.090       70.0980       2.29940
     4.0000E-3       -1.9500     341.040     -280.95       193.070       70.1080       2.29850
     4.0000E-3       -1.8000     341.040     -280.95       193.040       70.1170       2.29760
     4.0000E-3       -1.6500     341.050     -280.94       193.010       70.1270       2.29670
     4.0000E-3       -1.5000     341.050     -280.92       192.980       70.1360       2.29580
     4.0000E-3       -1.3500     341.050     -280.91       192.940       70.1460       2.29490
     4.0000E-3       -1.2000     341.050     -280.89       192.910       70.1550       2.29400
     4.0000E-3       -1.0500     341.050     -280.87       192.870       70.1640       2.29310
     4.0000E-3       -0.9000     341.060     -280.85       192.830       70.1730       2.29220
     4.0000E-3       -0.7500     341.060     -280.83       192.800       70.1810       2.29130
     4.0000E-3       -0.6000     341.060     -280.81       192.750       70.1900       2.29030
     4.0000E-3       -0.4500     341.060     -280.78       192.710       70.1990       2.28940
     4.0000E-3       -0.3000     341.060     -280.75       192.670       70.2070       2.28850
     4.0000E-3       -0.1500     341.060     -280.72       192.620       70.2150       2.28750
     4.0000E-3   -6.6613E-16     341.060     -280.69       192.580       70.2240       2.28660
     4.0000E-3        0.15000    341.060     -280.66       192.530       70.2320       2.28560
     4.0000E-3        0.30000    341.060     -280.62       192.480       70.2400       2.28470
     4.0000E-3        0.45000    341.070     -280.58       192.430       70.2480       2.28370
     4.0000E-3        0.60000    341.070     -280.54       192.380       70.2550       2.28280
     4.0000E-3        0.75000    341.070     -280.50       192.320       70.2630       2.28180
     4.0000E-3        0.90000    341.070     -280.46       192.270       70.2700       2.28080
     4.0000E-3        1.05000    341.070     -280.41       192.210       70.2780       2.27980
     4.0000E-3        1.20000    341.070     -280.36       192.150       70.2850       2.27880
     4.0000E-3        1.35000    341.070     -280.31       192.090       70.2920       2.27790
     4.0000E-3        1.50000    341.070     -280.26       192.030       70.2990       2.27690
     4.0000E-3        1.65000    341.070     -280.21       191.970       70.3060       2.27590
     4.0000E-3        1.80000    341.070     -280.15       191.900       70.3130       2.27490
     4.0000E-3        1.95000    341.070     -280.09       191.840       70.3190       2.27380
     4.0000E-3        2.10000    341.070     -280.03       191.770       70.3260       2.27280
     4.0000E-3        2.25000    341.070     -279.97       191.700       70.3320       2.27180
     4.0000E-3        2.40000    341.070     -279.91       191.630       70.3380       2.27080
     4.0000E-3        2.55000    341.070     -279.84       191.560       70.3440       2.26970
     4.0000E-3        2.70000    341.070     -279.78       191.480       70.3500       2.26870
     4.0000E-3        2.85000    341.060     -279.71       191.410       70.3560       2.26770
     4.0000E-3        3.00000    341.060     -279.64       191.330       70.3620       2.26660
     4.0000E-3        3.15000    341.060     -279.56       191.250       70.3670       2.26560
     4.0000E-3        3.30000    341.060     -279.49       191.180       70.3730       2.26450
     4.0000E-3        3.45000    341.060     -279.41       191.090       70.3780       2.26350
     4.0000E-3        3.60000    341.060     -279.33       191.010       70.3840       2.26240
     4.0000E-3        3.75000    341.060     -279.25       190.930       70.3890       2.26130
     4.0000E-3        3.90000    341.060     -279.17       190.840       70.3940       2.26020
     4.0000E-3        4.05000    341.060     -279.08       190.760       70.3980       2.25920
