% Model:              V2_FullGeometrie_TaRIX.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 3 2025, 11:24
% Dimension:          1
% Nodes:              668
% Expressions:        1
% Description:        Graphique sur ligne
% Longueur d'arc (mm)     T-293
0                         -13.621693309888325
0.08173877613204183       -13.616341936080307
0.39501461949515715       -13.596632517019774
0.5007175913119966        -13.591205865474643
0.599336285751022         -13.585973479172472
0.9156272197019035        -13.569192113735424
1.0542445312601387        -13.560567118427711
1.1200885643678475        -13.555349195905556
1.2341363345460223        -13.546311286158424
1.4805648806231346        -13.52678263640857
1.5489945071815185        -13.521359814130689
1.9356442658688593        -13.490719095620307
2.106143592976437         -13.477207586119178
2.159386386089949         -13.472988270317622
2.3406509694911364        -13.458623649750546
2.7511999673698426        -13.426088995335068
3.3366022654652525        -13.379697793405526
3.3759142426220734        -13.376582448835709
3.462307649372967         -13.369736056207937
3.5667556688708544        -13.36145889504982
3.6355350358016807        -13.35680175466412
3.8617723314666037        -13.34148293314237
4.0253126700184225        -13.334014864308637
4.233273313864132         -13.324518342430911
4.3475942989650065        -13.319297875153936
4.634768642286716         -13.306184060041378
4.676699896906882         -13.30426926948535
4.728447150183271         -13.301906231394273
4.86029449413315          -13.295885423018284
4.898387073242546         -13.294145925562407
4.942707361578336         -13.292125247640902
4.971700283151627         -13.290803384478387
5.247084242466556         -13.27824790915502
5.400680496036088         -13.271245054027764
5.4768257005603544        -13.267773394898542
5.824903734812267         -13.246456967687674
6.223288478792227         -13.222059739016753
6.423562624489456         -13.209794876460439
6.703670757133239         -13.192640951095662
6.910091890299874         -13.179197704497145
6.982334786879065         -13.17449286125359
7.076400362435535         -13.16836680860947
7.294763924428828         -13.15414580726637
7.475423447467961         -13.142380294301061
7.645267659396495         -13.131319132155209
7.839770242411959         -13.118652085194395
8.04625689660908          -13.111067764326444
8.320356006432924         -13.10100001633272
8.42658788825073          -13.097098085327808
8.479293162989592         -13.095162203725156
8.632912588356724         -13.089519713085421
8.634843541491485         -13.089452155725697
8.700450289198656         -13.08627446112313
8.879827969211199         -13.077586216308116
9.14400729424112          -13.06479056274205
9.151019511596594         -13.064450922597992
9.180213400037815         -13.063036902470952
9.189783720123835         -13.062573359382093
9.396187894821054         -13.052576073206437
9.533648525628564         -13.045918100972676
9.726115620262412         -13.036595864020478
9.889693903674114         -13.028672870632464
10.206886723778375        -13.015252233285754
10.630210965661163        -12.997341105510186
10.77309894526288         -12.991295420885898
10.804829770476658        -12.9897745287487
10.819495376759193        -12.989071590670912
10.913471333691419        -12.984567223292471
11.08433757630116         -12.97637742289658
11.608616751094402        -12.951248165486184
11.618879171794823        -12.950756276767667
11.660488724149943        -12.948761886751555
11.920961109748148        -12.936277168798414
12.157987118481579        -12.919420848570192
12.22855656249321         -12.914402238363898
12.415665880016462        -12.906089580035289
12.756883836437915        -12.890930376181284
12.98851742097024         -12.882308737435203
13.046254849460965        -12.880159691339061
13.376063964552053        -12.867883859010076
13.518399335208159        -12.862585991047345
13.931090114490168        -12.847225218472019
13.934182678545852        -12.847110110077262
13.93451043716616         -12.847097910566445
13.945135068724213        -12.846702450921468
14.430698967007672        -12.8286292663805
14.618514978516025        -12.823588615939931
14.908274959672625        -12.815811969183635
15.436792820873606        -12.80162748209693
15.444361835937286        -12.801424343084397
15.772647397219615        -12.792613737716824
15.978467884873801        -12.787089878896463
15.99025707352311         -12.786773477869298
16.06393738265922         -12.784528686458813
16.06625481096973         -12.784458082206104
16.789015732594095        -12.76243798582331
16.83427602613962         -12.761059056780015
16.86477274543823         -12.760129924229787
17.128038088407664        -12.752109113954923
17.28381537458482         -12.74736310354782
17.475884831641878        -12.741511392656907
17.678294978756142        -12.735344635690714
18.031741592267828        -12.724576305164177
18.189821365845603        -12.719760145703681
18.27749788761487         -12.717088936729722
18.48561985554            -12.710748159778475
18.522313931372622        -12.709630214601393
18.885646324494573        -12.698560697592132
19.022817357923913        -12.694269063601986
19.077131776147795        -12.692569742706187
19.26136003416076         -12.686347793624101
19.279540955904253        -12.685733768552307
19.34203573410008         -12.683996857505871
19.381413972190643        -12.683225600943814
20.178844610742857        -12.6646547387546
20.311679178711415        -12.661546743133862
20.366484364057612        -12.66026443929794
20.369550646456005        -12.660193076474684
20.37018116217655         -12.66017840222878
21.020805914686846        -12.64503615073752
21.26242873613201         -12.639412765653825
21.466336243935288        -12.634667144230416
21.503515015353102        -12.633801867733059
21.659378245959864        -12.63017440009218
22.21156308536046         -12.617323180282906
22.622453093202985        -12.607760371905279
22.708048333388746        -12.60576827946129
22.94857532974317         -12.60017039795558
23.16069743458891         -12.595233594911985
23.385742914244418        -12.592221760717658
23.45477285219041         -12.590818519071941
23.955925884927986        -12.580631072475006
24.01087990872385         -12.579513966229737
24.039795324804444        -12.57892617320464
24.461541158764362        -12.571415371594474
24.51476808776801         -12.57046746204357
24.966743615921942        -12.562418304823062
25.309449446652437        -12.556315113521551
25.42783699350644         -12.554206769334268
25.730979084023843        -12.548808162120565
25.770042250778154        -12.54811249266249
25.927718512973968        -12.54530446225976
26.340905899244866        -12.537946076625039
26.357454705258164        -12.537651361683377
26.5791035685004          -12.533704053838491
26.88869341002598         -12.528190619696414
27.35497138655392         -12.522748690591609
27.74120988368489         -12.51656473684626
28.028730383476244        -12.511961328628907
28.032690872937067        -12.511897918368623
28.267706842061386        -12.508135145125458
28.450772050818273        -12.505204140599112
28.567432072856164        -12.503336330462174
28.80377061030302         -12.499552381957091
29.180442297568867        -12.493521599659232
29.315370139210728        -12.49136130870462
29.669206664151766        -12.485696133638156
29.69819348610305         -12.48531289451146
30.098955241524585        -12.479833666418907
30.36395827733594         -12.476210536070795
30.46890662195716         -12.474775678801265
30.81211997057622         -12.470083254446765
31.024026647806153        -12.467186059284874
31.338396381774714        -12.462530817590554
31.394859513877563        -12.461694701710574
31.513243765557533        -12.460056339925966
31.532367756482913        -12.459791676210509
31.7722237565048          -12.45647222367634
32.07027873347592         -12.452347334790765
32.223344300164335        -12.450229005946827
32.233393530624944        -12.450089931070588
32.37475552704494         -12.448133572100167
32.74569795307427         -12.442999967870957
32.93173648092615         -12.440425314484445
32.93441930476696         -12.440388185930663
32.97728729758508         -12.439794920523994
33.239529938432554        -12.436165651301424
33.44464332311254         -12.433505894723712
33.472195071665965        -12.433148624306881
33.68440185161616         -12.430396885897961
33.75383376193981         -12.429839131796871
34.31072537092268         -12.425365560821726
34.537964816456096        -12.42291851051013
34.61369893917255         -12.422102960163418
34.79911645796278         -12.42010627338192
35.307922862103084        -12.414387532725243
35.33512908274376         -12.414081747816038
35.48913822552196         -12.41235075870281
35.75286171876999         -12.409386632758864
36.05974984305749         -12.4059373570046
36.078196614214505        -12.405730024118572
36.10953589371885         -12.405377785604287
36.263276550128104        -12.403649814149452
36.43223623173035         -12.401750788129622
36.84695750105393         -12.397089519394063
37.21863023815313         -12.392912095573672
37.26998309106327         -12.39233491406537
37.37533423793874         -12.391150817556435
38.39021305160968         -12.383174783712015
38.44821629932967         -12.38271893040158
38.506478159780656        -12.382160116432956
38.731728334538005        -12.379999647420899
39.19078675941685         -12.375596625302306
39.26624595689792         -12.374872864452804
39.34104286704945         -12.374155455879183
39.82476532955031         -12.369515870618928
39.83540785516156         -12.369413793686832
39.870867542912066        -12.369073684931552
39.88036816518178         -12.368982560473912
40.23386943476922         -12.36559198135674
40.29712827712786         -12.364985239236306
40.41172024697829         -12.363886139534554
41.010006751286106        -12.358147722442169
41.12669600248899         -12.357028506834293
41.2542581705829          -12.35580500451481
41.42175706509764         -12.35416536746661
42.225609974550785        -12.346296497552796
42.58209653235542         -12.343104184176367
42.7669383735459          -12.34144893780245
42.90316517465454         -12.340582790199662
43.19998772720153         -12.33869555405926
43.33520756522598         -12.33778037038434
43.48816517564332         -12.336745135391809
43.9630503015341          -12.333531057331776
44.38347242643295         -12.33068559123078
