% Model:              H_FullGeometrie_TaRIX.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 3 2025, 13:40
% Dimension:          1
% Nodes:              638
% Expressions:        1
% Description:        Graphique sur ligne
% Longueur d'arc inversée (mm) T-293
0                         -12.518879096500099
0.0011628639641685368     -12.518736317905628
0.15963373307454276       -12.499278970654935
0.331518059323173         -12.478174694256706
0.6638789827136975        -12.437366803599728
0.8056074155976205        -12.419965123723792
0.9207367080350082        -12.405829335649592
1.174578130176826         -12.374662214998676
1.5226343532884812        -12.331927226329373
1.610051967231044         -12.32119392954204
1.6583038580955076        -12.315269472881187
2.0176382010304508        -12.271149735740623
2.3786502224594415        -12.22682401012272
2.414496518864496         -12.222422735360237
2.455814117970448         -12.218276099253846
2.693569016367718         -12.194415006946958
2.8231682594940253        -12.181408421072236
3.1118665536197625        -12.152434647276568
3.2349595797402344        -12.140081025633464
3.2864125298976887        -12.134917205239246
3.7391683984554334        -12.0894786058877
3.7806888308670636        -12.08471201254494
3.824577002064956         -12.079673600069272
3.896932707002861         -12.071367082014529
4.1731679631473355        -12.03965495724857
4.193930637557912         -12.037271378372456
4.543357880477515         -11.997156729436057
4.564582927030756         -11.99472006970676
4.5876027591722846        -11.99272900213877
4.81021844923572          -11.973474175349178
4.835646673253308         -11.971274797358857
4.911507211033978         -11.964713348277186
5.073259990460258         -11.950722772187511
5.15506034344898          -11.943647567256194
5.169605798953171         -11.942389478815848
5.2982945639742525        -11.93125872752181
5.4597943390444925        -11.917290034683266
5.646803322940713         -11.895121563858599
5.828931548871793         -11.873531669198016
6.34523228187156          -11.812328204541938
6.393631286819314         -11.80835917100831
6.4565178272181925        -11.803202065238755
6.622492406331816         -11.789591069084125
6.720090303425607         -11.781587406058502
6.862516146287334         -11.769907559603302
7.159273367176297         -11.747551862265126
7.2453923287600475        -11.741064237686098
7.587276552768969         -11.715308974802365
7.644737239401991         -11.710980272318348
7.98777332977977          -11.685138235553126
8.262115334068298         -11.664471150194087
8.312036959250662         -11.660710390001418
8.43596111085364          -11.651374776135555
8.470264724822627         -11.6484325935512
8.473179188032404         -11.648182623302985
9.087674558134026         -11.595478043030063
9.29245617512835          -11.577914152891235
9.37747857271971          -11.570621876989943
9.465325225391737         -11.56308736789073
9.729342186594536         -11.538428135807491
9.895140552075404         -11.522942538386824
9.933124154619009         -11.519394863016979
9.978206673891961         -11.515184147536491
10.342423502172977        -11.499588182352827
10.410257141108389        -11.496787678795254
