2.08e-3 6.0e0 1.8358e0 1.8358e0
2.08e-3 9.0e0 1.8082e0 1.8082e0
2.08e-3 1.2e1 1.7778e0 1.7778e0
2.08e-3 1.5e1 1.7444e0 1.7444e0
2.08e-3 1.8e1 1.7081e0 1.7081e0
2.08e-3 2.1e1 1.6685e0 1.6685e0
2.08e-3 2.4e1 1.6257e0 1.6257e0
2.08e-3 2.7e1 1.5792e0 1.5792e0
2.08e-3 3.0e1 1.5289e0 1.5289e0
2.575e-3 -3.0e1 2.1135e0 2.1135e0
2.575e-3 -2.7e1 2.1235e0 2.1235e0
2.575e-3 -2.4e1 2.129e0 2.129e0
2.575e-3 -2.1e1 2.1306e0 2.1306e0
2.575e-3 -1.8e1 2.1284e0 2.1284e0
2.575e-3 -1.5e1 2.1228e0 2.1228e0
2.575e-3 -1.2e1 2.1142e0 2.1142e0
2.575e-3 -9.0e0 2.1025e0 2.1025e0
2.575e-3 -6.0e0 2.0882e0 2.0882e0
2.575e-3 -3.0e0 2.0712e0 2.0712e0
2.575e-3 -2.2204e-15 2.0516e0 2.0516e0
2.575e-3 3.0e0 2.0295e0 2.0295e0
2.575e-3 6.0e0 2.005e0 2.005e0
2.575e-3 9.0e0 1.9779e0 1.9779e0
2.575e-3 1.2e1 1.9483e0 1.9483e0
2.575e-3 1.5e1 1.916e0 1.916e0
2.575e-3 1.8e1 1.8809e0 1.8809e0
2.575e-3 2.1e1 1.8428e0 1.8428e0
2.575e-3 2.4e1 1.8015e0 1.8015e0
2.575e-3 2.7e1 1.7568e0 1.7568e0
2.575e-3 3.0e1 1.7084e0 1.7084e0
3.07e-3 -3.0e1 2.233e0 2.233e0
3.07e-3 -2.7e1 2.2416e0 2.2416e0
3.07e-3 -2.4e1 2.2459e0 2.2459e0
3.07e-3 -2.1e1 2.2463e0 2.2463e0
3.07e-3 -1.8e1 2.2432e0 2.2432e0
3.07e-3 -1.5e1 2.237e0 2.237e0
3.07e-3 -1.2e1 2.2278e0 2.2278e0
3.07e-3 -9.0e0 2.2158e0 2.2158e0
3.07e-3 -6.0e0 2.2013e0 2.2013e0
3.07e-3 -3.0e0 2.1844e0 2.1844e0
3.07e-3 -2.2204e-15 2.1652e0 2.1652e0
3.07e-3 3.0e0 2.1436e0 2.1436e0
3.07e-3 6.0e0 2.1198e0 2.1198e0
3.07e-3 9.0e0 2.0936e0 2.0936e0
3.07e-3 1.2e1 2.0651e0 2.0651e0
3.07e-3 1.5e1 2.0341e0 2.0341e0
3.07e-3 1.8e1 2.0005e0 2.0005e0
3.07e-3 2.1e1 1.9642e0 1.9642e0
3.07e-3 2.4e1 1.9248e0 1.9248e0
3.07e-3 2.7e1 1.8821e0 1.8821e0
3.07e-3 3.0e1 1.8358e0 1.8358e0
3.565e-3 -3.0e1 2.3095e0 2.3095e0
3.565e-3 -2.7e1 2.3175e0 2.3175e0
3.565e-3 -2.4e1 2.3213e0 2.3213e0
3.565e-3 -2.1e1 2.3213e0 2.3213e0
3.565e-3 -1.8e1 2.318e0 2.318e0
3.565e-3 -1.5e1 2.3116e0 2.3116e0
3.565e-3 -1.2e1 2.3024e0 2.3024e0
3.565e-3 -9.0e0 2.2906e0 2.2906e0
3.565e-3 -6.0e0 2.2765e0 2.2765e0
3.565e-3 -3.0e0 2.26e0 2.26e0
3.565e-3 -2.2204e-15 2.2414e0 2.2414e0
3.565e-3 3.0e0 2.2206e0 2.2206e0
3.565e-3 6.0e0 2.1977e0 2.1977e0
