12,7,135
19,6,137
27,6,141
31,5,143
38,5,146
42,5,147
47,4,150
53,4,152
56,4,154
61,3,156
65,3,157
70,3,159
73,2,160
78,2,162
83,1,163
86,1,164
91,0,165
94,0,166
99,0,167
102,0,167
106,0,168
111,0,168
114,0,169
119,1,168
122,1,168
126,3,168
129,4,167
134,6,167
138,8,166
141,11,165
145,14,163
148,16,162
152,19,160
156,23,158
158,25,157
162,28,154
165,30,153
169,34,150
171,36,149
175,40,146
178,43,143
180,45,141
184,49,138
186,51,137
189,54,134
191,57,132
194,60,129
197,63,126
199,66,124
202,69,122
204,71,120
207,75,117
208,77,115
211,80,112
214,84,110
215,86,108
218,89,105
220,92,104
222,95,101
224,98,99
226,101,97
228,105,94
230,107,92
232,111,90
233,113,88
235,117,86
237,121,83
238,123,81
240,127,79
241,129,77
243,133,74
244,136,73
246,140,70
247,144,67
248,147,66
249,151,63
250,154,61
251,158,59
251,161,57
252,165,54
253,169,52
253,172,50
254,177,48
254,180,46
254,185,44
254,188,43
254,192,41
254,197,39
253,200,38
253,205,37
252,208,36
251,213,36
251,217,36
249,222,36
248,227,37
247,230,37
245,235,38
244,239,39
242,244,38
240,249,33
