    BEGIN:|U|  BEGIN:Ph(U)  BEGIN:TBeg  HX:HeatIn   HX:HeatIn   RPN:ChngeM    RPN:dT     RPN:COP   
      m^3/s        deg          K           W           W           _           _           _      
         0f          0g          0c          2e         14e          1A         10A         17A    
     1.0622E-2       19.8000     339.900     -671.55       453.250    1.0622E-2       75.5150       2.11400
     1.0622E-2       20.1000     339.870     -670.04       452.140    1.0622E-2       75.5060       2.11270
     1.0622E-2       20.4000     339.850     -668.52       451.010    1.0622E-2       75.4970       2.11140
     1.0622E-2       20.7000     339.820     -666.97       449.870    1.0622E-2       75.4870       2.11000
     1.0622E-2       21.0000     339.800     -665.41       448.710    1.0622E-2       75.4770       2.10860
     1.0622E-2       21.3000     339.770     -663.82       447.540    1.0622E-2       75.4660       2.10720
     1.0622E-2       21.6000     339.740     -662.22       446.350    1.0622E-2       75.4540       2.10580
     1.0622E-2       21.9000     339.710     -660.59       445.160    1.0622E-2       75.4410       2.10440
     1.0622E-2       22.2000     339.690     -658.95       443.940    1.0622E-2       75.4280       2.10290
     1.0622E-2       22.5000     339.660     -657.29       442.720    1.0622E-2       75.4150       2.10140
     1.0622E-2       22.8000     339.630     -655.61       441.470    1.0622E-2       75.4010       2.09990
     1.0622E-2       23.1000     339.600     -653.91       440.220    1.0622E-2       75.3860       2.09840
     1.0622E-2       23.4000     339.570     -652.19       438.950    1.0622E-2       75.3700       2.09690
     1.0622E-2       23.7000     339.540     -650.45       437.670    1.0622E-2       75.3540       2.09530
     1.0622E-2       24.0000     339.510     -648.69       436.370    1.0622E-2       75.3370       2.09370
     1.0622E-2       24.3000     339.480     -646.91       435.060    1.0622E-2       75.3190       2.09210
     1.0622E-2       24.6000     339.450     -645.12       433.740    1.0622E-2       75.3010       2.09050
     1.0622E-2       24.9000     339.420     -643.30       432.400    1.0622E-2       75.2820       2.08890
     1.0622E-2       25.2000     339.390     -641.47       431.050    1.0622E-2       75.2630       2.08720
     1.0622E-2       25.5000     339.360     -639.62       429.680    1.0622E-2       75.2420       2.08550
     1.0622E-2       25.8000     339.330     -637.75       428.300    1.0622E-2       75.2210       2.08380
     1.0622E-2       26.1000     339.300     -635.86       426.910    1.0622E-2       75.2000       2.08200
     1.0622E-2       26.4000     339.260     -633.95       425.500    1.0622E-2       75.1780       2.08030
     1.0622E-2       26.7000     339.230     -632.02       424.080    1.0622E-2       75.1550       2.07850
     1.0622E-2       27.0000     339.200     -630.08       422.650    1.0622E-2       75.1310       2.07670
     1.0622E-2       27.3000     339.160     -628.11       421.200    1.0622E-2       75.1070       2.07480
     1.0622E-2       27.6000     339.130     -626.13       419.740    1.0622E-2       75.0820       2.07300
     1.0622E-2       27.9000     339.090     -624.13       418.270    1.0622E-2       75.0560       2.07110
     1.0622E-2       28.2000     339.060     -622.11       416.780    1.0622E-2       75.0300       2.06920
     1.0622E-2       28.5000     339.030     -620.07       415.280    1.0622E-2       75.0030       2.06730
     1.0622E-2       28.8000     338.990     -618.02       413.770    1.0622E-2       74.9750       2.06530
     1.0622E-2       29.1000     338.950     -615.95       412.240    1.0622E-2       74.9460       2.06330
     1.0622E-2       29.4000     338.920     -613.85       410.700    1.0622E-2       74.9170       2.06130
     1.0622E-2       29.7000     338.880     -611.74       409.150    1.0622E-2       74.8870       2.05930
     1.0622E-2       30.0000     338.850     -609.62       407.590    1.0622E-2       74.8570       2.05720
     1.0820E-2       30.0000     338.840     -620.77       414.630    1.0820E-2       74.8620       2.05020
     1.0820E-2       29.7000     338.870     -622.94       416.220    1.0820E-2       74.8940       2.05220
     1.0820E-2       29.4000     338.910     -625.09       417.790    1.0820E-2       74.9240       2.05420
     1.0820E-2       29.1000     338.950     -627.22       419.360    1.0820E-2       74.9540       2.05620
     1.0820E-2       28.8000     338.980     -629.33       420.910    1.0820E-2       74.9830       2.05810
     1.0820E-2       28.5000     339.020     -631.42       422.440    1.0820E-2       75.0120       2.06000
     1.0820E-2       28.2000     339.050     -633.50       423.970    1.0820E-2       75.0390       2.06190
     1.0820E-2       27.9000     339.090     -635.55       425.470    1.0820E-2       75.0670       2.06370
     1.0820E-2       27.6000     339.120     -637.59       426.970    1.0820E-2       75.0930       2.06550
     1.0820E-2       27.3000     339.160     -639.61       428.450    1.0820E-2       75.1190       2.06730
     1.0820E-2       27.0000     339.190     -641.61       429.920    1.0820E-2       75.1430       2.06910
     1.0820E-2       26.7000     339.220     -643.59       431.370    1.0820E-2       75.1680       2.07090
     1.0820E-2       26.4000     339.260     -645.55       432.820    1.0820E-2       75.1910       2.07260
     1.0820E-2       26.1000     339.290     -647.49       434.240    1.0820E-2       75.2140       2.07430
     1.0820E-2       25.8000     339.320     -649.41       435.660    1.0820E-2       75.2360       2.07600
     1.0820E-2       25.5000     339.350     -651.32       437.050    1.0820E-2       75.2580       2.07770
     1.0820E-2       25.2000     339.380     -653.20       438.440    1.0820E-2       75.2790       2.07930
     1.0820E-2       24.9000     339.420     -655.07       439.810    1.0820E-2       75.2990       2.08090
     1.0820E-2       24.6000     339.450     -656.92       441.170    1.0820E-2       75.3180       2.08250
     1.0820E-2       24.3000     339.480     -658.75       442.510    1.0820E-2       75.3370       2.08410
     1.0820E-2       24.0000     339.510     -660.56       443.840    1.0820E-2       75.3550       2.08560
     1.0820E-2       23.7000     339.540     -662.34       445.160    1.0820E-2       75.3730       2.08720
     1.0820E-2       23.4000     339.570     -664.11       446.460    1.0820E-2       75.3890       2.08870
     1.0820E-2       23.1000     339.600     -665.87       447.750    1.0820E-2       75.4060       2.09020
     1.0820E-2       22.8000     339.620     -667.60       449.020    1.0820E-2       75.4210       2.09160
     1.0820E-2       22.5000     339.650     -669.31       450.280    1.0820E-2       75.4360       2.09310
     1.0820E-2       22.2000     339.680     -671.00       451.520    1.0820E-2       75.4500       2.09450
     1.0820E-2       21.9000     339.710     -672.67       452.750    1.0820E-2       75.4630       2.09590
     1.0820E-2       21.6000     339.740     -674.32       453.970    1.0820E-2       75.4760       2.09730
     1.0820E-2       21.3000     339.760     -675.96       455.170    1.0820E-2       75.4880       2.09870
     1.0820E-2       21.0000     339.790     -677.57       456.360    1.0820E-2       75.5000       2.10000
     1.0820E-2       20.7000     339.820     -679.16       457.530    1.0820E-2       75.5110       2.10130
     1.0820E-2       20.4000     339.840     -680.74       458.690    1.0820E-2       75.5210       2.10260
     1.0820E-2       20.1000     339.870     -682.29       459.830    1.0820E-2       75.5310       2.10390
     1.0820E-2       19.8000     339.890     -683.83       460.960    1.0820E-2       75.5400       2.10520
     1.0820E-2       19.5000     339.920     -685.34       462.080    1.0820E-2       75.5480       2.10640
     1.0820E-2       19.2000     339.940     -686.83       463.180    1.0820E-2       75.5560       2.10770
     1.0820E-2       18.9000     339.970     -688.31       464.260    1.0820E-2       75.5630       2.10890
     1.0820E-2       18.6000     339.990     -689.76       465.330    1.0820E-2       75.5690       2.11010
     1.0820E-2       18.3000     340.010     -691.19       466.390    1.0820E-2       75.5750       2.11130
     1.0820E-2       18.0000     340.040     -692.61       467.430    1.0820E-2       75.5800       2.11240
     1.0820E-2       17.7000     340.060     -694.00       468.460    1.0820E-2       75.5850       2.11350
     1.0820E-2       17.4000     340.080     -695.37       469.470    1.0820E-2       75.5890       2.11470
     1.0820E-2       17.1000     340.100     -696.73       470.460    1.0820E-2       75.5920       2.11580
     1.0820E-2       16.8000     340.120     -698.06       471.450    1.0820E-2       75.5950       2.11680
     1.0820E-2       16.5000     340.150     -699.37       472.410    1.0820E-2       75.5970       2.11790
     1.0820E-2       16.2000     340.170     -700.66       473.370    1.0820E-2       75.5990       2.11900
     1.0820E-2       15.9000     340.190     -701.93       474.300    1.0820E-2       75.5990       2.12000
     1.0820E-2       15.6000     340.210     -703.18       475.230    1.0820E-2       75.6000       2.12100
     1.0820E-2       15.3000     340.230     -704.41       476.130    1.0820E-2       75.5990       2.12200
     1.0820E-2       15.0000     340.250     -705.62       477.030    1.0820E-2       75.5980       2.12300
     1.0820E-2       14.7000     340.260     -706.81       477.900    1.0820E-2       75.5970       2.12390
     1.0820E-2       14.4000     340.280     -707.98       478.770    1.0820E-2       75.5950       2.12490
     1.0820E-2       14.1000     340.300     -709.13       479.610    1.0820E-2       75.5920       2.12580
     1.0820E-2       13.8000     340.320     -710.26       480.450    1.0820E-2       75.5880       2.12670
     1.0820E-2       13.5000     340.340     -711.36       481.260    1.0820E-2       75.5840       2.12760
     1.0820E-2       13.2000     340.350     -712.45       482.060    1.0820E-2       75.5800       2.12840
     1.0820E-2       12.9000     340.370     -713.51       482.850    1.0820E-2       75.5750       2.12930
     1.0820E-2       12.6000     340.390     -714.56       483.620    1.0820E-2       75.5690       2.13010
     1.0820E-2       12.3000     340.400     -715.58       484.380    1.0820E-2       75.5630       2.13100
     1.0820E-2       12.0000     340.420     -716.59       485.120    1.0820E-2       75.5560       2.13180
     1.0820E-2       11.7000     340.440     -717.57       485.850    1.0820E-2       75.5480       2.13250
     1.0820E-2       11.4000     340.450     -718.53       486.560    1.0820E-2       75.5400       2.13330
     1.0820E-2       11.1000     340.460     -719.47       487.250    1.0820E-2       75.5310       2.13410
     1.0820E-2       10.8000     340.480     -720.39       487.930    1.0820E-2       75.5220       2.13480
     1.0820E-2       10.5000     340.490     -721.29       488.590    1.0820E-2       75.5120       2.13550
     1.0820E-2       10.2000     340.510     -722.16       489.240    1.0820E-2       75.5010       2.13620
     1.0820E-2        9.90000    340.520     -723.02       489.880    1.0820E-2       75.4900       2.13690
     1.0820E-2        9.60000    340.530     -723.86       490.490    1.0820E-2       75.4790       2.13750
     1.0820E-2        9.30000    340.540     -724.67       491.100    1.0820E-2       75.4670       2.13820
     1.0820E-2        9.00000    340.560     -725.47       491.680    1.0820E-2       75.4540       2.13880
     1.0820E-2        8.70000    340.570     -726.24       492.260    1.0820E-2       75.4400       2.13940
     1.0820E-2        8.40000    340.580     -726.99       492.810    1.0820E-2       75.4260       2.14000
     1.0820E-2        8.10000    340.590     -727.72       493.350    1.0820E-2       75.4120       2.14060
     1.0820E-2        7.80000    340.600     -728.43       493.880    1.0820E-2       75.3970       2.14120
     1.0820E-2        7.50000    340.610     -729.12       494.390    1.0820E-2       75.3810       2.14170
     1.0820E-2        7.20000    340.620     -729.78       494.880    1.0820E-2       75.3650       2.14220
     1.0820E-2        6.90000    340.630     -730.43       495.360    1.0820E-2       75.3480       2.14270
     1.0820E-2        6.60000    340.640     -731.05       495.820    1.0820E-2       75.3310       2.14320
     1.0820E-2        6.30000    340.650     -731.66       496.270    1.0820E-2       75.3130       2.14370
     1.0820E-2        6.00000    340.660     -732.24       496.700    1.0820E-2       75.2940       2.14420
     1.0820E-2        5.70000    340.660     -732.80       497.110    1.0820E-2       75.2750       2.14460
     1.0820E-2        5.40000    340.670     -733.34       497.510    1.0820E-2       75.2550       2.14500
     1.0820E-2        5.10000    340.680     -733.86       497.900    1.0820E-2       75.2350       2.14540
     1.0820E-2        4.80000    340.690     -734.36       498.260    1.0820E-2       75.2140       2.14580
     1.0820E-2        4.50000    340.690     -734.83       498.620    1.0820E-2       75.1930       2.14620
     1.0820E-2        4.20000    340.700     -735.29       498.950    1.0820E-2       75.1710       2.14660
     1.0820E-2        3.90000    340.700     -735.72       499.270    1.0820E-2       75.1490       2.14690
     1.0820E-2        3.60000    340.710     -736.13       499.580    1.0820E-2       75.1260       2.14720
     1.0820E-2        3.30000    340.710     -736.53       499.870    1.0820E-2       75.1020       2.14750
     1.0820E-2        3.00000    340.720     -736.90       500.140    1.0820E-2       75.0780       2.14780
     1.0820E-2        2.70000    340.720     -737.24       500.400    1.0820E-2       75.0540       2.14800
     1.0820E-2        2.40000    340.730     -737.57       500.640    1.0820E-2       75.0280       2.14830
     1.0820E-2        2.10000    340.730     -737.88       500.860    1.0820E-2       75.0030       2.14850
     1.0820E-2        1.80000    340.730     -738.16       501.070    1.0820E-2       74.9760       2.14870
     1.0820E-2        1.50000    340.740     -738.42       501.270    1.0820E-2       74.9490       2.14890
     1.0820E-2        1.20000    340.740     -738.67       501.440    1.0820E-2       74.9220       2.14910
     1.0820E-2        0.90000    340.740     -738.89       501.610    1.0820E-2       74.8940       2.14920
     1.0820E-2        0.60000    340.740     -739.08       501.750    1.0820E-2       74.8660       2.14940
     1.0820E-2        0.30000    340.740     -739.26       501.880    1.0820E-2       74.8370       2.14950
     1.0820E-2   -2.2204E-15     340.740     -739.42       502.000    1.0820E-2       74.8070       2.14960
     1.0820E-2       -0.3000     340.750     -739.55       502.090    1.0820E-2       74.7770       2.14970
     1.0820E-2       -0.6000     340.750     -739.67       502.180    1.0820E-2       74.7460       2.14970
     1.0820E-2       -0.9000     340.750     -739.76       502.240    1.0820E-2       74.7150       2.14980
     1.0820E-2       -1.2000     340.740     -739.83       502.290    1.0820E-2       74.6840       2.14980
     1.0820E-2       -1.5000     340.740     -739.88       502.330    1.0820E-2       74.6510       2.14980
     1.0820E-2       -1.8000     340.740     -739.91       502.340    1.0820E-2       74.6190       2.14980
     1.0820E-2       -2.1000     340.740     -739.91       502.350    1.0820E-2       74.5850       2.14970
     1.0820E-2       -2.4000     340.740     -739.90       502.330    1.0820E-2       74.5520       2.14970
     1.0820E-2       -2.7000     340.740     -739.86       502.300    1.0820E-2       74.5170       2.14960
     1.0820E-2       -3.0000     340.730     -739.81       502.250    1.0820E-2       74.4820       2.14950
     1.0820E-2       -3.3000     340.730     -739.73       502.190    1.0820E-2       74.4480       2.14940
     1.0820E-2       -3.6000     340.730     -739.60       502.030    1.0820E-2       74.4410       2.14840
     1.0820E-2       -3.9000     340.720     -739.45       501.850    1.0820E-2       74.4320       2.14730
     1.0820E-2       -4.2000     340.720     -739.28       501.660    1.0820E-2       74.4230       2.14630
     1.0820E-2       -4.5000     340.710     -739.09       501.450    1.0820E-2       74.4130       2.14530
     1.0820E-2       -4.8000     340.710     -738.88       501.230    1.0820E-2       74.4020       2.14420
     1.0820E-2       -5.1000     340.700     -738.65       500.990    1.0820E-2       74.3910       2.14310
     1.0820E-2       -5.4000     340.690     -738.39       500.740    1.0820E-2       74.3790       2.14210
     1.0820E-2       -5.7000     340.690     -738.12       500.470    1.0820E-2       74.3660       2.14100
     1.0820E-2       -6.0000     340.680     -737.82       500.180    1.0820E-2       74.3530       2.13990
     1.0820E-2       -6.3000     340.670     -737.50       499.880    1.0820E-2       74.3380       2.13870
     1.0820E-2       -6.6000     340.670     -737.16       499.570    1.0820E-2       74.3230       2.13760
     1.0820E-2       -6.9000     340.660     -736.80       499.230    1.0820E-2       74.3080       2.13640
     1.0820E-2       -7.2000     340.650     -736.42       498.890    1.0820E-2       74.2910       2.13530
     1.0820E-2       -7.5000     340.640     -736.02       498.530    1.0820E-2       74.2740       2.13410
     1.0820E-2       -7.8000     340.630     -735.59       498.150    1.0820E-2       74.2560       2.13290
     1.0820E-2       -8.1000     340.620     -735.15       497.760    1.0820E-2       74.2380       2.13170
     1.0820E-2       -8.4000     340.610     -734.68       497.350    1.0820E-2       74.2180       2.13050
     1.0820E-2       -8.7000     340.600     -734.20       496.930    1.0820E-2       74.1980       2.12920
     1.0820E-2       -9.0000     340.590     -733.69       496.490    1.0820E-2       74.1780       2.12800
     1.0820E-2       -9.3000     340.580     -733.16       496.030    1.0820E-2       74.1560       2.12670
     1.0820E-2       -9.6000     340.570     -732.61       495.560    1.0820E-2       74.1340       2.12540
     1.0820E-2       -9.9000     340.560     -732.04       495.080    1.0820E-2       74.1110       2.12410
     1.0820E-2      -10.200      340.550     -731.45       494.580    1.0820E-2       74.0880       2.12280
     1.0820E-2      -10.500      340.530     -730.84       494.060    1.0820E-2       74.0630       2.12150
     1.0820E-2      -10.800      340.520     -730.20       493.530    1.0820E-2       74.0380       2.12010
     1.0820E-2      -11.100      340.510     -729.55       492.980    1.0820E-2       74.0130       2.11880
     1.0820E-2      -11.400      340.490     -728.87       492.420    1.0820E-2       73.9860       2.11740
     1.0820E-2      -11.700      340.480     -728.18       491.850    1.0820E-2       73.9590       2.11600
     1.0820E-2      -12.000      340.470     -727.46       491.250    1.0820E-2       73.9310       2.11460
     1.0820E-2      -12.300      340.450     -726.72       490.650    1.0820E-2       73.9030       2.11310
     1.0820E-2      -12.600      340.440     -725.97       490.020    1.0820E-2       73.8740       2.11170
     1.0820E-2      -12.900      340.420     -725.19       489.380    1.0820E-2       73.8440       2.11020
     1.0820E-2      -13.200      340.410     -724.39       488.730    1.0820E-2       73.8130       2.10870
     1.0820E-2      -13.500      340.390     -723.57       488.060    1.0820E-2       73.7820       2.10720
     1.0820E-2      -13.800      340.370     -722.72       487.380    1.0820E-2       73.7500       2.10570
     1.0820E-2      -14.100      340.360     -721.86       486.680    1.0820E-2       73.7170       2.10420
     1.0820E-2      -14.400      340.340     -720.98       485.960    1.0820E-2       73.6830       2.10260
     1.0820E-2      -14.700      340.320     -720.08       485.230    1.0820E-2       73.6490       2.10100
     1.0820E-2      -15.000      340.310     -719.15       484.490    1.0820E-2       73.6140       2.09940
     1.0820E-2      -15.300      340.290     -718.21       483.730    1.0820E-2       73.5790       2.09780
     1.0820E-2      -15.600      340.270     -717.25       482.950    1.0820E-2       73.5420       2.09610
     1.0820E-2      -15.900      340.250     -716.26       482.160    1.0820E-2       73.5060       2.09450
     1.0820E-2      -16.200      340.230     -715.25       481.350    1.0820E-2       73.4680       2.09280
     1.0820E-2      -16.500      340.210     -714.23       480.530    1.0820E-2       73.4290       2.09110
     1.0820E-2      -16.800      340.190     -713.18       479.700    1.0820E-2       73.3900       2.08930
     1.0820E-2      -17.100      340.170     -712.12       478.850    1.0820E-2       73.3510       2.08760
     1.0820E-2      -17.400      340.150     -711.03       477.980    1.0820E-2       73.3100       2.08580
     1.0820E-2      -17.700      340.130     -709.92       477.100    1.0820E-2       73.2690       2.08400
     1.0820E-2      -18.000      340.110     -708.79       476.200    1.0820E-2       73.2270       2.08220
     1.0820E-2      -18.300      340.090     -707.65       475.290    1.0820E-2       73.1850       2.08030
     1.0820E-2      -18.600      340.070     -706.48       474.360    1.0820E-2       73.1420       2.07850
     1.0820E-2      -18.900      340.050     -705.29       473.420    1.0820E-2       73.0980       2.07660
     1.0820E-2      -19.200      340.020     -704.08       472.460    1.0820E-2       73.0530       2.07470
     1.0820E-2      -19.500      340.000     -702.85       471.490    1.0820E-2       73.0080       2.07270
     1.0820E-2      -19.800      339.980     -701.61       470.500    1.0820E-2       72.9620       2.07080
     1.0820E-2      -20.100      339.960     -700.34       469.500    1.0820E-2       72.9150       2.06880
     1.0820E-2      -20.400      339.930     -699.05       468.480    1.0820E-2       72.8680       2.06670
     1.0820E-2      -20.700      339.910     -697.74       467.450    1.0820E-2       72.8200       2.06470
     1.0820E-2      -21.000      339.880     -696.41       466.400    1.0820E-2       72.7710       2.06260
     1.0820E-2      -21.300      339.860     -695.07       465.340    1.0820E-2       72.7220       2.06050
     1.0820E-2      -21.600      339.830     -693.70       464.260    1.0820E-2       72.6720       2.05840
     1.0820E-2      -21.900      339.810     -692.31       463.170    1.0820E-2       72.6210       2.05620
     1.0820E-2      -22.200      339.780     -690.90       462.060    1.0820E-2       72.5700       2.05410
     1.0820E-2      -22.500      339.760     -689.48       460.940    1.0820E-2       72.5180       2.05180
     1.0820E-2      -22.800      339.730     -688.03       459.800    1.0820E-2       72.4650       2.04960
     1.0820E-2      -23.100      339.700     -686.57       458.650    1.0820E-2       72.4120       2.04730
     1.0820E-2      -23.400      339.680     -685.08       457.480    1.0820E-2       72.3580       2.04500
     1.0820E-2      -23.700      339.650     -683.58       456.300    1.0820E-2       72.3030       2.04270
     1.0820E-2      -24.000      339.620     -682.05       455.100    1.0820E-2       72.2480       2.04030
     1.0820E-2      -24.300      339.590     -680.51       453.890    1.0820E-2       72.1910       2.03790
     1.0820E-2      -24.600      339.570     -678.94       452.660    1.0820E-2       72.1350       2.03550
     1.0820E-2      -24.900      339.540     -677.36       451.420    1.0820E-2       72.0770       2.03300
     1.0820E-2      -25.200      339.510     -675.76       450.170    1.0820E-2       72.0190       2.03050
     1.0820E-2      -25.500      339.480     -674.14       448.900    1.0820E-2       71.9610       2.02800
     1.0820E-2      -25.800      339.450     -672.50       447.610    1.0820E-2       71.9010       2.02550
     1.0820E-2      -26.100      339.420     -670.84       446.310    1.0820E-2       71.8410       2.02290
     1.0820E-2      -26.400      339.390     -669.16       444.990    1.0820E-2       71.7800       2.02020
     1.0820E-2      -26.700      339.360     -667.47       443.670    1.0820E-2       71.7190       2.01760
     1.0820E-2      -27.000      339.330     -665.75       442.320    1.0820E-2       71.6570       2.01490
     1.0820E-2      -27.300      339.300     -664.01       440.960    1.0820E-2       71.5940       2.01210
     1.0820E-2      -27.600      339.270     -662.26       439.590    1.0820E-2       71.5310       2.00930
     1.0820E-2      -27.900      339.230     -660.49       438.200    1.0820E-2       71.4670       2.00650
     1.0820E-2      -28.200      339.200     -658.70       436.800    1.0820E-2       71.4030       2.00370
     1.0820E-2      -28.500      339.170     -656.89       435.380    1.0820E-2       71.3370       2.00080
     1.0820E-2      -28.800      339.140     -655.06       433.950    1.0820E-2       71.2710       1.99790
     1.0820E-2      -29.100      339.100     -653.21       432.500    1.0820E-2       71.2050       1.99490
     1.0820E-2      -29.400      339.070     -651.34       431.040    1.0820E-2       71.1380       1.99190
     1.0820E-2      -29.700      339.040     -649.46       429.570    1.0820E-2       71.0700       1.98880
     1.0820E-2      -30.000      339.000     -647.56       428.080    1.0820E-2       71.0010       1.98570
     1.1019E-2      -30.000      339.000     -658.90       434.140    1.1019E-2       71.1360       1.96570
     1.1019E-2      -29.700      339.030     -660.83       435.650    1.1019E-2       71.2050       1.96880
     1.1019E-2      -29.400      339.060     -662.75       437.160    1.1019E-2       71.2730       1.97190
     1.1019E-2      -29.100      339.100     -664.65       438.650    1.1019E-2       71.3410       1.97500
     1.1019E-2      -28.800      339.130     -666.54       440.120    1.1019E-2       71.4080       1.97800
     1.1019E-2      -28.500      339.160     -668.40       441.580    1.1019E-2       71.4750       1.98090
     1.1019E-2      -28.200      339.200     -670.24       443.030    1.1019E-2       71.5410       1.98390
     1.1019E-2      -27.900      339.230     -672.07       444.460    1.1019E-2       71.6060       1.98680
     1.1019E-2      -27.600      339.260     -673.87       445.870    1.1019E-2       71.6710       1.98960
     1.1019E-2      -27.300      339.290     -675.66       447.270    1.1019E-2       71.7340       1.99240
     1.1019E-2      -27.000      339.320     -677.43       448.660    1.1019E-2       71.7980       1.99520
     1.1019E-2      -26.700      339.350     -679.18       450.030    1.1019E-2       71.8600       1.99790
     1.1019E-2      -26.400      339.380     -680.90       451.380    1.1019E-2       71.9220       2.00060
     1.1019E-2      -26.100      339.410     -682.61       452.730    1.1019E-2       71.9840       2.00330
     1.1019E-2      -25.800      339.440     -684.30       454.050    1.1019E-2       72.0440       2.00590
     1.1019E-2      -25.500      339.470     -685.97       455.360    1.1019E-2       72.1040       2.00850
     1.1019E-2      -25.200      339.500     -687.63       456.660    1.1019E-2       72.1630       2.01110
     1.1019E-2      -24.900      339.530     -689.26       457.940    1.1019E-2       72.2220       2.01360
     1.1019E-2      -24.600      339.560     -690.87       459.210    1.1019E-2       72.2800       2.01610
     1.1019E-2      -24.300      339.590     -692.46       460.460    1.1019E-2       72.3370       2.01860
     1.1019E-2      -24.000      339.620     -694.03       461.690    1.1019E-2       72.3940       2.02100
     1.1019E-2      -23.700      339.640     -695.59       462.910    1.1019E-2       72.4500       2.02340
     1.1019E-2      -23.400      339.670     -697.12       464.120    1.1019E-2       72.5050       2.02580
     1.1019E-2      -23.100      339.700     -698.63       465.310    1.1019E-2       72.5600       2.02810
     1.1019E-2      -22.800      339.720     -700.13       466.490    1.1019E-2       72.6140       2.03050
     1.1019E-2      -22.500      339.750     -701.60       467.650    1.1019E-2       72.6670       2.03270
     1.1019E-2      -22.200      339.780     -703.05       468.790    1.1019E-2       72.7190       2.03500
     1.1019E-2      -21.900      339.800     -704.49       469.920    1.1019E-2       72.7710       2.03720
     1.1019E-2      -21.600      339.830     -705.90       471.040    1.1019E-2       72.8220       2.03940
     1.1019E-2      -21.300      339.850     -707.29       472.140    1.1019E-2       72.8730       2.04160
     1.1019E-2      -21.000      339.880     -708.67       473.220    1.1019E-2       72.9230       2.04370
     1.1019E-2      -20.700      339.900     -710.02       474.290    1.1019E-2       72.9720       2.04580
     1.1019E-2      -20.400      339.920     -711.35       475.340    1.1019E-2       73.0200       2.04790
     1.1019E-2      -20.100      339.950     -712.66       476.380    1.1019E-2       73.0680       2.04990
     1.1019E-2      -19.800      339.970     -713.96       477.400    1.1019E-2       73.1150       2.05200
     1.1019E-2      -19.500      339.990     -715.23       478.410    1.1019E-2       73.1620       2.05400
     1.1019E-2      -19.200      340.020     -716.48       479.410    1.1019E-2       73.2070       2.05600
     1.1019E-2      -18.900      340.040     -717.71       480.380    1.1019E-2       73.2520       2.05790
     1.1019E-2      -18.600      340.060     -718.92       481.340    1.1019E-2       73.2970       2.05980
     1.1019E-2      -18.300      340.080     -720.11       482.290    1.1019E-2       73.3400       2.06170
     1.1019E-2      -18.000      340.100     -721.28       483.220    1.1019E-2       73.3830       2.06360
     1.1019E-2      -17.700      340.130     -722.43       484.140    1.1019E-2       73.4260       2.06550
     1.1019E-2      -17.400      340.150     -723.56       485.040    1.1019E-2       73.4670       2.06730
     1.1019E-2      -17.100      340.170     -724.66       485.920    1.1019E-2       73.5080       2.06910
     1.1019E-2      -16.800      340.190     -725.75       486.790    1.1019E-2       73.5480       2.07090
     1.1019E-2      -16.500      340.210     -726.82       487.650    1.1019E-2       73.5880       2.07270
     1.1019E-2      -16.200      340.230     -727.86       488.490    1.1019E-2       73.6260       2.07440
     1.1019E-2      -15.900      340.240     -728.89       489.310    1.1019E-2       73.6640       2.07620
     1.1019E-2      -15.600      340.260     -729.89       490.120    1.1019E-2       73.7020       2.07790
     1.1019E-2      -15.300      340.280     -730.87       490.910    1.1019E-2       73.7380       2.07950
     1.1019E-2      -15.000      340.300     -731.84       491.690    1.1019E-2       73.7740       2.08120
     1.1019E-2      -14.700      340.320     -732.78       492.450    1.1019E-2       73.8100       2.08280
     1.1019E-2      -14.400      340.330     -733.70       493.200    1.1019E-2       73.8440       2.08450
     1.1019E-2      -14.100      340.350     -734.60       493.930    1.1019E-2       73.8780       2.08610
     1.1019E-2      -13.800      340.370     -735.48       494.640    1.1019E-2       73.9110       2.08760
     1.1019E-2      -13.500      340.380     -736.33       495.340    1.1019E-2       73.9430       2.08920
     1.1019E-2      -13.200      340.400     -737.17       496.030    1.1019E-2       73.9750       2.09070
     1.1019E-2      -12.900      340.420     -737.98       496.690    1.1019E-2       74.0060       2.09230
     1.1019E-2      -12.600      340.430     -738.78       497.350    1.1019E-2       74.0360       2.09380
     1.1019E-2      -12.300      340.450     -739.55       497.980    1.1019E-2       74.0660       2.09520
     1.1019E-2      -12.000      340.460     -740.30       498.610    1.1019E-2       74.0950       2.09670
     1.1019E-2      -11.700      340.470     -741.03       499.210    1.1019E-2       74.1230       2.09820
     1.1019E-2      -11.400      340.490     -741.74       499.800    1.1019E-2       74.1500       2.09960
     1.1019E-2      -11.100      340.500     -742.43       500.380    1.1019E-2       74.1770       2.10100
     1.1019E-2      -10.800      340.510     -743.10       500.940    1.1019E-2       74.2030       2.10240
     1.1019E-2      -10.500      340.530     -743.74       501.480    1.1019E-2       74.2280       2.10380
     1.1019E-2      -10.200      340.540     -744.37       502.010    1.1019E-2       74.2530       2.10520
     1.1019E-2       -9.9000     340.550     -744.97       502.520    1.1019E-2       74.2770       2.10650
     1.1019E-2       -9.6000     340.560     -745.55       503.020    1.1019E-2       74.3000       2.10780
     1.1019E-2       -9.3000     340.570     -746.12       503.500    1.1019E-2       74.3220       2.10920
     1.1019E-2       -9.0000     340.580     -746.65       503.970    1.1019E-2       74.3440       2.11050
