    BEGIN:|U|  BEGIN:Ph(U)  BEGIN:TBeg  HX:HeatIn   HX:HeatIn   RPN:ChngeM    RPN:dT     RPN:COP   
      m^3/s        deg          K           W           W           _           _           _      
         0f          0g          0c          2e         14e          1A         10A         17A    
     3.0000E-4      -12.000      338.280      -27.583        0.65766  3.0000E-4       60.3050   2.8596E-2  
     3.0000E-4      -11.700      338.300      -27.596        0.66364  3.0000E-4       60.3240   2.8848E-2  
     3.0000E-4      -11.400      338.320      -27.608        0.66917  3.0000E-4       60.3420   2.9080E-2  
     3.0000E-4      -11.100      338.330      -27.619        0.67426  3.0000E-4       60.3600   2.9293E-2  
     3.0000E-4      -10.800      338.350      -27.630        0.67889  3.0000E-4       60.3780   2.9486E-2  
     3.0000E-4      -10.500      338.370      -27.641        0.68308  3.0000E-4       60.3960   2.9660E-2  
     3.0000E-4      -10.200      338.390      -27.651        0.68681  3.0000E-4       60.4140   2.9814E-2  
     3.0000E-4       -9.9000     338.400      -27.660        0.69010  3.0000E-4       60.4320   2.9949E-2  
     3.0000E-4       -9.6000     338.420      -27.669        0.69294  3.0000E-4       60.4490   3.0064E-2  
     3.0000E-4       -9.3000     338.440      -27.678        0.69532  3.0000E-4       60.4670   3.0160E-2  
     3.0000E-4       -9.0000     338.460      -27.686        0.69726  3.0000E-4       60.4840   3.0236E-2  
     3.0000E-4       -8.7000     338.470      -27.693        0.69875  3.0000E-4       60.5010   3.0293E-2  
     3.0000E-4       -8.4000     338.490      -27.700        0.69978  3.0000E-4       60.5180   3.0331E-2  
     3.0000E-4       -8.1000     338.510      -27.706        0.70037  3.0000E-4       60.5350   3.0349E-2  
     3.0000E-4       -7.8000     338.520      -27.712        0.70051  3.0000E-4       60.5520   3.0348E-2  
     3.0000E-4       -7.5000     338.540      -27.717        0.70020  3.0000E-4       60.5680   3.0327E-2  
     3.0000E-4       -7.2000     338.560      -27.722        0.69944  3.0000E-4       60.5850   3.0287E-2  
     3.0000E-4       -6.9000     338.570      -27.726        0.69823  3.0000E-4       60.6010   3.0228E-2  
     3.0000E-4       -6.6000     338.590      -27.730        0.69658  3.0000E-4       60.6170   3.0149E-2  
     3.0000E-4       -6.3000     338.610      -27.733        0.69447  3.0000E-4       60.6330   3.0052E-2  
     3.0000E-4       -6.0000     338.620      -27.735        0.69192  3.0000E-4       60.6490   2.9935E-2  
     3.0000E-4       -5.7000     338.640      -27.737        0.68892  3.0000E-4       60.6650   2.9799E-2  
     3.0000E-4       -5.4000     338.650      -27.739        0.68547  3.0000E-4       60.6810   2.9643E-2  
     3.0000E-4       -5.1000     338.670      -27.740        0.68157  3.0000E-4       60.6960   2.9469E-2  
     3.0000E-4       -4.8000     338.680      -27.740        0.67723  3.0000E-4       60.7110   2.9275E-2  
     3.0000E-4       -4.5000     338.700      -27.740        0.67243  3.0000E-4       60.7270   2.9062E-2  
     3.0000E-4       -4.2000     338.710      -27.739        0.66720  3.0000E-4       60.7420   2.8830E-2  
     3.0000E-4       -3.9000     338.730      -27.738        0.66151  3.0000E-4       60.7560   2.8579E-2  
     3.0000E-4       -3.6000     338.740      -27.737        0.65538  3.0000E-4       60.7710   2.8309E-2  
     3.0000E-4       -3.3000     338.760      -27.734        0.64880  3.0000E-4       60.7860   2.8019E-2  
     3.0000E-4       -3.0000     338.770      -27.732        0.64178  3.0000E-4       60.8000   2.7711E-2  
     3.0000E-4       -2.7000     338.790      -27.728        0.63431  3.0000E-4       60.8140   2.7384E-2  
     3.0000E-4       -2.4000     338.800      -27.724        0.62640  3.0000E-4       60.8290   2.7038E-2  
     3.0000E-4       -2.1000     338.820      -27.720        0.61804  3.0000E-4       60.8430   2.6672E-2  
     3.0000E-4       -1.8000     338.830      -27.715        0.60924  3.0000E-4       60.8560   2.6288E-2  
     3.0000E-4       -1.5000     338.850      -27.710        0.59999  3.0000E-4       60.8700   2.5885E-2  
     3.0000E-4       -1.2000     338.860      -27.704        0.59030  3.0000E-4       60.8840   2.5463E-2  
     3.0000E-4       -0.9000     338.870      -27.697        0.58017  3.0000E-4       60.8970   2.5022E-2  
     3.0000E-4       -0.6000     338.890      -27.690        0.56959  3.0000E-4       60.9100   2.4562E-2  
     3.0000E-4       -0.3000     338.900      -27.683        0.55858  3.0000E-4       60.9230   2.4084E-2  
     3.0000E-4   -1.3323E-15     338.910      -27.674        0.54712  3.0000E-4       60.9360   2.3586E-2  
     3.0000E-4        0.30000    338.930      -27.666        0.53521  3.0000E-4       60.9490   2.3070E-2  
     3.0000E-4        0.60000    338.940      -27.657        0.52287  3.0000E-4       60.9610   2.2535E-2  
     3.0000E-4        0.90000    338.950      -27.647        0.51009  3.0000E-4       60.9740   2.1981E-2  
     3.0000E-4        1.20000    338.970      -27.637        0.49687  3.0000E-4       60.9860   2.1409E-2  
     3.0000E-4        1.50000    338.980      -27.626        0.48321  3.0000E-4       60.9980   2.0818E-2  
     3.0000E-4        1.80000    338.990      -27.615        0.46911  3.0000E-4       61.0100   2.0208E-2  
     3.0000E-4        2.10000    339.000      -27.603        0.45457  3.0000E-4       61.0220   1.9579E-2  
     3.0000E-4        2.40000    339.020      -27.591        0.43959  3.0000E-4       61.0340   1.8932E-2  
     3.0000E-4        2.70000    339.030      -27.578        0.42418  3.0000E-4       61.0450   1.8267E-2  
     3.0000E-4        3.00000    339.040      -27.564        0.40833  3.0000E-4       61.0560   1.7582E-2  
     3.0000E-4        3.30000    339.050      -27.551        0.39205  3.0000E-4       61.0680   1.6879E-2  
     3.0000E-4        3.60000    339.060      -27.536        0.37532  3.0000E-4       61.0790   1.6158E-2  
     3.0000E-4        3.90000    339.070      -27.521        0.35817  3.0000E-4       61.0890   1.5418E-2  
     3.0000E-4        4.20000    339.090      -27.506        0.34058  3.0000E-4       61.1000   1.4659E-2  
     3.0000E-4        4.50000    339.100      -27.490        0.32255  3.0000E-4       61.1110   1.3882E-2  
     3.0000E-4        4.80000    339.110      -27.473        0.30410  3.0000E-4       61.1210   1.3087E-2  
     3.0000E-4        5.10000    339.120      -27.456        0.28521  3.0000E-4       61.1310   1.2273E-2  
     3.0000E-4        5.40000    339.130      -27.438        0.26589  3.0000E-4       61.1410   1.1441E-2  
     3.0000E-4        5.70000    339.140      -27.420        0.24614  3.0000E-4       61.1510   1.0590E-2  
     3.0000E-4        6.00000    339.150      -27.402        0.22596  3.0000E-4       61.1610   9.7214E-3  
     3.0000E-4        6.30000    339.160      -27.383        0.20534  3.0000E-4       61.1700   8.8341E-3  
     3.0000E-4        6.60000    339.170      -27.363        0.18431  3.0000E-4       61.1790   7.9285E-3  
     3.0000E-4        6.90000    339.180      -27.343        0.16284  3.0000E-4       61.1890   7.0047E-3  
     3.0000E-4        7.20000    339.190      -27.322        0.14094  3.0000E-4       61.1970   6.0625E-3  
     3.0000E-4        7.50000    339.200      -27.301        0.11862  3.0000E-4       61.2060   5.1022E-3  
     3.0000E-4        7.80000    339.210      -27.279    9.5874E-2    3.0000E-4       61.2150   4.1236E-3  
     3.0000E-4        8.10000    339.220      -27.257    7.2702E-2    3.0000E-4       61.2230   3.1268E-3  
     3.0000E-4        8.40000    339.230      -27.234    4.9106E-2    3.0000E-4       61.2320   2.1119E-3  
     3.0000E-4        8.70000    339.240      -27.211    2.5086E-2    3.0000E-4       61.2400   1.0789E-3  
     3.0000E-4        9.00000    339.250      -27.187    6.4395E-4    3.0000E-4       61.2480   2.7693E-5  
     3.0000E-4        9.30000    339.260      -27.163   -2.4220E-2    3.0000E-4       61.2560  -1.0416E-3  
     3.0000E-4        9.60000    339.270      -27.138   -4.9504E-2    3.0000E-4       61.2630  -2.1289E-3  
     3.0000E-4        9.90000    339.270      -27.113   -7.5209E-2    3.0000E-4       61.2710  -3.2342E-3  
     3.0000E-4       10.2000     339.280      -27.087       -0.10133  3.0000E-4       61.2780  -4.3575E-3  
     3.0000E-4       10.5000     339.290      -27.060       -0.12787  3.0000E-4       61.2850  -5.4989E-3  
     3.0000E-4       10.8000     339.300      -27.034       -0.15483  3.0000E-4       61.2920  -6.6582E-3  
     3.0000E-4       11.1000     339.310      -27.006       -0.18221  3.0000E-4       61.2980  -7.8354E-3  
     3.0000E-4       11.4000     339.310      -26.978       -0.2100   3.0000E-4       61.3050  -9.0305E-3  
     3.0000E-4       11.7000     339.320      -26.950       -0.23821  3.0000E-4       61.3110  -1.0244E-2  
     3.0000E-4       12.0000     339.330      -26.921       -0.26682  3.0000E-4       61.3180  -1.1474E-2  
     3.0000E-4       12.3000     339.340      -26.892       -0.29586  3.0000E-4       61.3230  -1.2723E-2  
     3.0000E-4       12.6000     339.340      -26.862       -0.3253   3.0000E-4       61.3290  -1.3990E-2  
     3.0000E-4       12.9000     339.350      -26.831       -0.35515  3.0000E-4       61.3350  -1.5274E-2  
     3.0000E-4       13.2000     339.360      -26.800       -0.38542  3.0000E-4       61.3400  -1.6576E-2  
     3.0000E-4       13.5000     339.360      -26.769       -0.41609  3.0000E-4       61.3460  -1.7896E-2  
     3.0000E-4       13.8000     339.370      -26.737       -0.44717  3.0000E-4       61.3510  -1.9233E-2  
     3.0000E-4       14.1000     339.370      -26.705       -0.47866  3.0000E-4       61.3560  -2.0588E-2  
     3.0000E-4       14.4000     339.380      -26.672       -0.51055  3.0000E-4       61.3600  -2.1961E-2  
     3.0000E-4       14.7000     339.390      -26.639       -0.54284  3.0000E-4       61.3650  -2.3351E-2  
     3.0000E-4       15.0000     339.390      -26.605       -0.57555  3.0000E-4       61.3690  -2.4759E-2  
     3.0000E-4       15.3000     339.400      -26.570       -0.60865  3.0000E-4       61.3730  -2.6185E-2  
     3.0000E-4       15.6000     339.400      -26.535       -0.64215  3.0000E-4       61.3770  -2.7628E-2  
     3.0000E-4       15.9000     339.410      -26.500       -0.67606  3.0000E-4       61.3810  -2.9088E-2  
     3.0000E-4       16.2000     339.410      -26.464       -0.71036  3.0000E-4       61.3840  -3.0566E-2  
     3.0000E-4       16.5000     339.420      -26.428       -0.74506  3.0000E-4       61.3880  -3.2062E-2  
     3.0000E-4       16.8000     339.420      -26.391       -0.78016  3.0000E-4       61.3910  -3.3575E-2  
     3.0000E-4       17.1000     339.430      -26.354       -0.81565  3.0000E-4       61.3940  -3.5105E-2  
     3.0000E-4       17.4000     339.430      -26.316       -0.85154  3.0000E-4       61.3970  -3.6653E-2  
     3.0000E-4       17.7000     339.440      -26.278       -0.88782  3.0000E-4       61.3990  -3.8218E-2  
     3.0000E-4       18.0000     339.440      -26.239       -0.9245   3.0000E-4       61.4010  -3.9800E-2  
     3.0000E-4       18.3000     339.440      -26.200       -0.96156  3.0000E-4       61.4040  -4.1400E-2  
     3.0000E-4       18.6000     339.450      -26.160       -0.99901  3.0000E-4       61.4060  -4.3016E-2  
     3.0000E-4       18.9000     339.450      -26.120       -1.0369   3.0000E-4       61.4070  -4.4650E-2  
     3.0000E-4       19.2000     339.450      -26.079       -1.0751   3.0000E-4       61.4090  -4.6302E-2  
     3.0000E-4       19.5000     339.460      -26.038       -1.1137   3.0000E-4       61.4100  -4.7970E-2  
     3.0000E-4       19.8000     339.460      -25.996       -1.1527   3.0000E-4       61.4120  -4.9656E-2  
     3.0000E-4       20.1000     339.460      -25.954       -1.1921   3.0000E-4       61.4130  -5.1358E-2  
     3.0000E-4       20.4000     339.460      -25.912       -1.2319   3.0000E-4       61.4130  -5.3078E-2  
     3.0000E-4       20.7000     339.470      -25.869       -1.2720   3.0000E-4       61.4140  -5.4815E-2  
     3.0000E-4       21.0000     339.470      -25.825       -1.3125   3.0000E-4       61.4140  -5.6569E-2  
     3.0000E-4       21.3000     339.470      -25.781       -1.3534   3.0000E-4       61.4140  -5.8339E-2  
     3.0000E-4       21.6000     339.470      -25.737       -1.3947   3.0000E-4       61.4140  -6.0127E-2  
     3.0000E-4       21.9000     339.470      -25.692       -1.4364   3.0000E-4       61.4140  -6.1932E-2  
     3.0000E-4       22.2000     339.470      -25.647       -1.4784   3.0000E-4       61.4140  -6.3753E-2  
     3.0000E-4       22.5000     339.480      -25.601       -1.5208   3.0000E-4       61.4130  -6.5592E-2  
     3.0000E-4       22.8000     339.480      -25.555       -1.5636   3.0000E-4       61.4120  -6.7447E-2  
     3.0000E-4       23.1000     339.480      -25.508       -1.6067   3.0000E-4       61.4110  -6.9319E-2  
     3.0000E-4       23.4000     339.480      -25.461       -1.6503   3.0000E-4       61.4100  -7.1208E-2  
     3.0000E-4       23.7000     339.480      -25.413       -1.6941   3.0000E-4       61.4080  -7.3113E-2  
     3.0000E-4       24.0000     339.480      -25.365       -1.7384   3.0000E-4       61.4060  -7.5035E-2  
     3.0000E-4       24.3000     339.480      -25.316       -1.7830   3.0000E-4       61.4050  -7.6974E-2  
     3.0000E-4       24.6000     339.480      -25.267       -1.8280   3.0000E-4       61.4020  -7.8930E-2  
     3.0000E-4       24.9000     339.480      -25.218       -1.8733   3.0000E-4       61.4000  -8.0902E-2  
     3.0000E-4       25.2000     339.480      -25.168       -1.9190   3.0000E-4       61.3970  -8.2890E-2  
     3.0000E-4       25.5000     339.480      -25.118       -1.9651   3.0000E-4       61.3950  -8.4896E-2  
     3.0000E-4       25.8000     339.470      -25.067       -2.0115   3.0000E-4       61.3920  -8.6917E-2  
     3.0000E-4       26.1000     339.470      -25.016       -2.0583   3.0000E-4       61.3880  -8.8955E-2  
     3.0000E-4       26.4000     339.470      -24.964       -2.1054   3.0000E-4       61.3850  -9.1010E-2  
     3.0000E-4       26.7000     339.470      -24.912       -2.1529   3.0000E-4       61.3810  -9.3081E-2  
     3.0000E-4       27.0000     339.470      -24.859       -2.2007   3.0000E-4       61.3770  -9.5169E-2  
     3.0000E-4       27.3000     339.470      -24.806       -2.2489   3.0000E-4       61.3730  -9.7272E-2  
     3.0000E-4       27.6000     339.460      -24.753       -2.2974   3.0000E-4       61.3690  -9.9392E-2  
     3.0000E-4       27.9000     339.460      -24.699       -2.3463   3.0000E-4       61.3640      -0.10153
     3.0000E-4       28.2000     339.460      -24.645       -2.3955   3.0000E-4       61.3590      -0.10368
     3.0000E-4       28.5000     339.450      -24.590       -2.4451   3.0000E-4       61.3540      -0.10585
     3.0000E-4       28.8000     339.450      -24.535       -2.4950   3.0000E-4       61.3490      -0.10803
     3.0000E-4       29.1000     339.450      -24.480       -2.5453   3.0000E-4       61.3440      -0.11024
     3.0000E-4       29.4000     339.440      -24.424       -2.5959   3.0000E-4       61.3380      -0.11245
     3.0000E-4       29.7000     339.440      -24.367       -2.6468   3.0000E-4       61.3320      -0.11469
     3.0000E-4       30.0000     339.440      -24.311       -2.6980   3.0000E-4       61.3260      -0.11693
     4.9850E-4       30.0000     340.950      -35.452        5.75580  4.9850E-4       63.1920       0.22349
     4.9850E-4       29.7000     340.950      -35.548        5.84270  4.9850E-4       63.1990       0.22678
     4.9850E-4       29.4000     340.960      -35.643        5.92900  4.9850E-4       63.2060       0.23005
     4.9850E-4       29.1000     340.960      -35.738        6.01480  4.9850E-4       63.2130       0.23330
     4.9850E-4       28.8000     340.960      -35.832        6.10000  4.9850E-4       63.2200       0.23653
     4.9850E-4       28.5000     340.970      -35.925        6.18450  4.9850E-4       63.2260       0.23973
     4.9850E-4       28.2000     340.970      -36.017        6.26850  4.9850E-4       63.2320       0.24291
     4.9850E-4       27.9000     340.970      -36.108        6.35190  4.9850E-4       63.2380       0.24606
     4.9850E-4       27.6000     340.970      -36.199        6.43470  4.9850E-4       63.2440       0.24919
     4.9850E-4       27.3000     340.980      -36.289        6.51690  4.9850E-4       63.2490       0.25230
     4.9850E-4       27.0000     340.980      -36.378        6.59850  4.9850E-4       63.2540       0.25538
     4.9850E-4       26.7000     340.980      -36.467        6.67940  4.9850E-4       63.2590       0.25844
     4.9850E-4       26.4000     340.980      -36.554        6.75980  4.9850E-4       63.2630       0.26147
     4.9850E-4       26.1000     340.980      -36.641        6.83960  4.9850E-4       63.2680       0.26449
     4.9850E-4       25.8000     340.980      -36.727        6.91870  4.9850E-4       63.2710       0.26747
     4.9850E-4       25.5000     340.980      -36.813        6.99720  4.9850E-4       63.2750       0.27044
     4.9850E-4       25.2000     340.980      -36.898        7.07510  4.9850E-4       63.2790       0.27338
     4.9850E-4       24.9000     340.980      -36.981        7.15240  4.9850E-4       63.2820       0.27629
     4.9850E-4       24.6000     340.980      -37.064        7.22910  4.9850E-4       63.2850       0.27919
     4.9850E-4       24.3000     340.980      -37.147        7.30520  4.9850E-4       63.2870       0.28205
     4.9850E-4       24.0000     340.980      -37.228        7.38060  4.9850E-4       63.2900       0.28490
     4.9850E-4       23.7000     340.980      -37.309        7.45540  4.9850E-4       63.2920       0.28772
     4.9850E-4       23.4000     340.980      -37.389        7.52950  4.9850E-4       63.2940       0.29052
     4.9850E-4       23.1000     340.980      -37.468        7.60310  4.9850E-4       63.2950       0.29329
     4.9850E-4       22.8000     340.980      -37.546        7.67600  4.9850E-4       63.2970       0.29604
     4.9850E-4       22.5000     340.980      -37.624        7.74820  4.9850E-4       63.2980       0.29876
     4.9850E-4       22.2000     340.970      -37.701        7.81980  4.9850E-4       63.2990       0.30146
     4.9850E-4       21.9000     340.970      -37.777        7.89080  4.9850E-4       63.2990       0.30414
     4.9850E-4       21.6000     340.970      -37.852        7.96110  4.9850E-4       63.3000       0.30679
     4.9850E-4       21.3000     340.970      -37.926        8.03080  4.9850E-4       63.3000       0.30942
     4.9850E-4       21.0000     340.960      -38.000        8.09980  4.9850E-4       63.3000       0.31203
     4.9850E-4       20.7000     340.960      -38.073        8.16820  4.9850E-4       63.2990       0.31461
     4.9850E-4       20.4000     340.960      -38.144        8.23590  4.9850E-4       63.2990       0.31717
     4.9850E-4       20.1000     340.950      -38.216        8.30300  4.9850E-4       63.2980       0.31970
     4.9850E-4       19.8000     340.950      -38.286        8.36940  4.9850E-4       63.2970       0.32221
     4.9850E-4       19.5000     340.950      -38.355        8.43520  4.9850E-4       63.2950       0.32469
     4.9850E-4       19.2000     340.940      -38.424        8.50030  4.9850E-4       63.2940       0.32715
     4.9850E-4       18.9000     340.940      -38.492        8.56470  4.9850E-4       63.2920       0.32959
     4.9850E-4       18.6000     340.930      -38.559        8.62850  4.9850E-4       63.2900       0.33200
     4.9850E-4       18.3000     340.930      -38.625        8.69160  4.9850E-4       63.2870       0.33439
     4.9850E-4       18.0000     340.920      -38.690        8.75410  4.9850E-4       63.2850       0.33675
     4.9850E-4       17.7000     340.920      -38.755        8.81580  4.9850E-4       63.2820       0.33909
     4.9850E-4       17.4000     340.910      -38.819        8.87690  4.9850E-4       63.2790       0.34141
     4.9850E-4       17.1000     340.910      -38.881        8.93740  4.9850E-4       63.2760       0.34370
     4.9850E-4       16.8000     340.900      -38.943        8.99710  4.9850E-4       63.2720       0.34597
     4.9850E-4       16.5000     340.890      -39.005        9.05620  4.9850E-4       63.2680       0.34821
     4.9850E-4       16.2000     340.890      -39.065        9.11460  4.9850E-4       63.2640       0.35043
