    BEGIN:|U|  BEGIN:Ph(U)  BEGIN:TBeg  HX:HeatIn   HX:HeatIn     RPN:dT     RPN:COP   
      m^3/s        deg          K           W           W           _           _      
         0f          0g          0c          1e         13e          9A         16A    
     1.0000E-4       -6.6000     335.810      -14.738      -10.107      -57.412       -0.4829 
     1.0000E-4       -6.3000     335.820      -14.739      -10.108      -57.419       -0.4829 
     1.0000E-4       -6.0000     335.830      -14.739      -10.108      -57.425       -0.4829 
     1.0000E-4       -5.7000     335.830      -14.740      -10.109      -57.430       -0.48291
     1.0000E-4       -5.4000     335.840      -14.740      -10.110      -57.436       -0.48293
     1.0000E-4       -5.1000     335.840      -14.740      -10.111      -57.442       -0.48295
     1.0000E-4       -4.8000     335.850      -14.740      -10.112      -57.448       -0.48299
     1.0000E-4       -4.5000     335.860      -14.740      -10.114      -57.453       -0.48303
     1.0000E-4       -4.2000     335.860      -14.740      -10.115      -57.459       -0.48307
     1.0000E-4       -3.9000     335.870      -14.739      -10.117      -57.464       -0.48313
     1.0000E-4       -3.6000     335.870      -14.739      -10.119      -57.470       -0.48319
     1.0000E-4       -3.3000     335.880      -14.738      -10.121      -57.475       -0.48326
     1.0000E-4       -3.0000     335.880      -14.737      -10.123      -57.480       -0.48334
     1.0000E-4       -2.7000     335.890      -14.735      -10.125      -57.485       -0.48342
     1.0000E-4       -2.4000     335.890      -14.734      -10.128      -57.490       -0.48351
     1.0000E-4       -2.1000     335.900      -14.733      -10.130      -57.495       -0.48361
     1.0000E-4       -1.8000     335.900      -14.731      -10.133      -57.500       -0.48372
     1.0000E-4       -1.5000     335.910      -14.729      -10.136      -57.505       -0.48383
     1.0000E-4       -1.2000     335.910      -14.727      -10.139      -57.510       -0.48395
     1.0000E-4       -0.9000     335.920      -14.725      -10.142      -57.514       -0.48408
     1.0000E-4       -0.6000     335.920      -14.722      -10.145      -57.519       -0.48422
     1.0000E-4       -0.3000     335.930      -14.720      -10.149      -57.523       -0.48436
     1.0000E-4   -1.3323E-15     335.930      -14.717      -10.152      -57.528       -0.48451
     1.0000E-4        0.30000    335.940      -14.714      -10.156      -57.532       -0.48467
     1.0000E-4        0.60000    335.940      -14.711      -10.160      -57.536       -0.48483
     1.0000E-4        0.90000    335.940      -14.708      -10.164      -57.540       -0.48501
     1.0000E-4        1.20000    335.950      -14.705      -10.168      -57.544       -0.48519
     1.0000E-4        1.50000    335.950      -14.701      -10.172      -57.548       -0.48537
     1.0000E-4        1.80000    335.960      -14.698      -10.177      -57.552       -0.48557
     1.0000E-4        2.10000    335.960      -14.694      -10.181      -57.556       -0.48577
     1.0000E-4        2.40000    335.970      -14.690      -10.186      -57.559       -0.48598
     1.0000E-4        2.70000    335.970      -14.686      -10.191      -57.563       -0.48619
     1.0000E-4        3.00000    335.970      -14.681      -10.196      -57.566       -0.48642
     1.0000E-4        3.30000    335.980      -14.677      -10.201      -57.570       -0.48665
     1.0000E-4        3.60000    335.980      -14.672      -10.206      -57.573       -0.48688
     1.0000E-4        3.90000    335.980      -14.667      -10.211      -57.576       -0.48713
     1.0000E-4        4.20000    335.990      -14.662      -10.217      -57.580       -0.48738
     1.0000E-4        4.50000    335.990      -14.657      -10.223      -57.583       -0.48764
     1.0000E-4        4.80000    335.990      -14.652      -10.228      -57.586       -0.4879 
     1.0000E-4        5.10000    336.000      -14.647      -10.234      -57.589       -0.48818
     1.0000E-4        5.40000    336.000      -14.641      -10.240      -57.591       -0.48846
     1.0000E-4        5.70000    336.000      -14.635      -10.247      -57.594       -0.48875
     1.0000E-4        6.00000    336.010      -14.629      -10.253      -57.597       -0.48904
     1.0000E-4        6.30000    336.010      -14.623      -10.260      -57.599       -0.48934
     1.0000E-4        6.60000    336.010      -14.617      -10.266      -57.602       -0.48965
     1.0000E-4        6.90000    336.010      -14.610      -10.273      -57.604       -0.48997
     1.0000E-4        7.20000    336.020      -14.604      -10.280      -57.606       -0.49029
     1.0000E-4        7.50000    336.020      -14.597      -10.287      -57.608       -0.49062
     1.0000E-4        7.80000    336.020      -14.590      -10.294      -57.611       -0.49096
     1.0000E-4        8.10000    336.020      -14.583      -10.302      -57.613       -0.4913 
     1.0000E-4        8.40000    336.030      -14.576      -10.309      -57.614       -0.49166
     1.0000E-4        8.70000    336.030      -14.568      -10.317      -57.616       -0.49201
     1.0000E-4        9.00000    336.030      -14.561      -10.324      -57.618       -0.49238
     1.0000E-4        9.30000    336.030      -14.553      -10.332      -57.620       -0.49275
     1.0000E-4        9.60000    336.030      -14.545      -10.340      -57.621       -0.49313
     1.0000E-4        9.90000    336.040      -14.537      -10.349      -57.623       -0.49352
     1.0000E-4       10.2000     336.040      -14.529      -10.357      -57.624       -0.49391
     1.0000E-4       10.5000     336.040      -14.521      -10.365      -57.625       -0.49431
     1.0000E-4       10.8000     336.040      -14.512      -10.374      -57.626       -0.49472
     1.0000E-4       11.1000     336.040      -14.503      -10.383      -57.627       -0.49514
     1.0000E-4       11.4000     336.040      -14.495      -10.391      -57.628       -0.49556
     1.0000E-4       11.7000     336.040      -14.486      -10.400      -57.629       -0.49599
     1.0000E-4       12.0000     336.050      -14.476      -10.409      -57.630       -0.49642
     1.0000E-4       12.3000     336.050      -14.467      -10.419      -57.631       -0.49686
     1.0000E-4       12.6000     336.050      -14.458      -10.428      -57.631       -0.49731
     1.0000E-4       12.9000     336.050      -14.448      -10.438      -57.632       -0.49777
     1.0000E-4       13.2000     336.050      -14.438      -10.447      -57.632       -0.49823
     1.0000E-4       13.5000     336.050      -14.428      -10.457      -57.633       -0.4987 
     1.0000E-4       13.8000     336.050      -14.418      -10.467      -57.633       -0.49918
     1.0000E-4       14.1000     336.050      -14.408      -10.477      -57.633       -0.49966
     1.0000E-4       14.4000     336.050      -14.398      -10.487      -57.633       -0.50015
     1.0000E-4       14.7000     336.050      -14.387      -10.497      -57.633       -0.50065
     1.0000E-4       15.0000     336.050      -14.377      -10.508      -57.633       -0.50115
     1.0000E-4       15.3000     336.050      -14.366      -10.518      -57.633       -0.50166
     1.0000E-4       15.6000     336.050      -14.355      -10.529      -57.632       -0.50218
     1.0000E-4       15.9000     336.050      -14.344      -10.540      -57.632       -0.5027 
     1.0000E-4       16.2000     336.050      -14.332      -10.551      -57.631       -0.50324
     1.0000E-4       16.5000     336.050      -14.321      -10.562      -57.631       -0.50377
     1.0000E-4       16.8000     336.050      -14.309      -10.573      -57.630       -0.50432
     1.0000E-4       17.1000     336.050      -14.297      -10.585      -57.629       -0.50487
     1.0000E-4       17.4000     336.050      -14.286      -10.596      -57.628       -0.50543
     1.0000E-4       17.7000     336.050      -14.273      -10.608      -57.627       -0.50599
     1.0000E-4       18.0000     336.050      -14.261      -10.619      -57.626       -0.50656
     1.0000E-4       18.3000     336.050      -14.249      -10.631      -57.625       -0.50714
     1.0000E-4       18.6000     336.050      -14.236      -10.643      -57.624       -0.50772
     1.0000E-4       18.9000     336.050      -14.224      -10.655      -57.622       -0.50831
     1.0000E-4       19.2000     336.050      -14.211      -10.668      -57.621       -0.50891
     1.0000E-4       19.5000     336.050      -14.198      -10.680      -57.619       -0.50951
     1.0000E-4       19.8000     336.050      -14.185      -10.692      -57.617       -0.51012
     1.0000E-4       20.1000     336.040      -14.172      -10.705      -57.616       -0.51074
     1.0000E-4       20.4000     336.040      -14.158      -10.718      -57.614       -0.51136
     1.0000E-4       20.7000     336.040      -14.145      -10.731      -57.612       -0.51199
