    BEGIN:|U|  BEGIN:Ph(U)  BEGIN:TBeg  HX:HeatIn   HX:HeatIn     RPN:dT    RPN:ChngeM 
      m^3/s        deg          K           W           W           _           _      
         0f          0g          0c          1e         13e          9A         16A    
     1.0000E-4       -3.4500     335.870      -14.738      -10.120      -57.472       -0.48323
     1.0000E-4       -3.3000     335.880      -14.738      -10.121      -57.475       -0.48326
     1.0000E-4       -3.1500     335.880      -14.737      -10.122      -57.478       -0.4833 
     1.0000E-4       -3.0000     335.880      -14.737      -10.123      -57.480       -0.48334
     1.0000E-4       -2.8500     335.890      -14.736      -10.124      -57.483       -0.48338
     1.0000E-4       -2.7000     335.890      -14.735      -10.125      -57.485       -0.48342
     1.0000E-4       -2.5500     335.890      -14.735      -10.126      -57.488       -0.48347
     1.0000E-4       -2.4000     335.890      -14.734      -10.128      -57.490       -0.48351
     1.0000E-4       -2.2500     335.900      -14.733      -10.129      -57.493       -0.48356
     1.0000E-4       -2.1000     335.900      -14.733      -10.130      -57.495       -0.48361
     1.0000E-4       -1.9500     335.900      -14.732      -10.132      -57.498       -0.48367
     1.0000E-4       -1.8000     335.900      -14.731      -10.133      -57.500       -0.48372
     1.0000E-4       -1.6500     335.910      -14.730      -10.134      -57.502       -0.48378
     1.0000E-4       -1.5000     335.910      -14.729      -10.136      -57.505       -0.48383
     1.0000E-4       -1.3500     335.910      -14.728      -10.137      -57.507       -0.48389
     1.0000E-4       -1.2000     335.910      -14.727      -10.139      -57.510       -0.48395
     1.0000E-4       -1.0500     335.920      -14.726      -10.140      -57.512       -0.48402
     1.0000E-4       -0.9000     335.920      -14.725      -10.142      -57.514       -0.48408
     1.0000E-4       -0.7500     335.920      -14.724      -10.144      -57.516       -0.48415
     1.0000E-4       -0.6000     335.920      -14.722      -10.145      -57.519       -0.48422
     1.0000E-4       -0.4500     335.920      -14.721      -10.147      -57.521       -0.48429
     1.0000E-4       -0.3000     335.930      -14.720      -10.149      -57.523       -0.48436
     1.0000E-4       -0.1500     335.930      -14.719      -10.150      -57.525       -0.48444
